buyer_gstin,buyer_name,buyer_type,industry,past_disputes_count,avg_payment_delay_days,total_outstanding_to_mses,gst_compliance_status,risk_score
01AABCX0000E1ZP,Buyer Entity 000,PSU,Healthcare,2,53,3063014.05,Compliant,23.25
02AABCX0001E1ZP,Buyer Entity 001,PSU,FMCG,2,67,6547659.2,Compliant,26.75
03AABCX0002E1ZP,Buyer Entity 002,PSU,FMCG,11,111,10567705.22,Compliant,82.75
04AABCX0003E1ZP,Buyer Entity 003,PSU,Engineering,5,96,652605.58,Non-Compliant,67.0
05AABCX0004E1ZP,Buyer Entity 004,LLP,Construction,1,61,12424443.05,Compliant,20.25
06AABCX0005E1ZP,Buyer Entity 005,Proprietorship,Healthcare,5,116,11119589.16,Compliant,54.0
07AABCX0006E1ZP,Buyer Entity 006,Private Ltd,Construction,1,30,4768617.99,Compliant,12.5
08AABCX0007E1ZP,Buyer Entity 007,Private Ltd,Engineering,9,110,1802337.34,Compliant,72.5
09AABCX0008E1ZP,Buyer Entity 008,Private Ltd,Engineering,1,81,10417289.49,Compliant,25.25
10AABCX0009E1ZP,Buyer Entity 009,LLP,Engineering,1,88,4911116.05,Non-Compliant,45.0
11AABCX0010E1ZP,Buyer Entity 010,Proprietorship,FMCG,3,30,13443259.64,Non-Compliant,40.5
12AABCX0011E1ZP,Buyer Entity 011,Private Ltd,FMCG,3,82,9664426.4,Non-Compliant,53.5
13AABCX0012E1ZP,Buyer Entity 012,State Govt,Engineering,2,85,6052755.04,Compliant,31.25
14AABCX0013E1ZP,Buyer Entity 013,State Govt,Construction,3,99,1078075.94,Compliant,39.75
15AABCX0014E1ZP,Buyer Entity 014,LLP,Retail,2,64,12882997.68,Compliant,26.0
16AABCX0015E1ZP,Buyer Entity 015,Private Ltd,Engineering,1,79,525082.16,Compliant,24.75
17AABCX0016E1ZP,Buyer Entity 016,Proprietorship,Healthcare,3,72,4393947.87,Compliant,33.0
18AABCX0017E1ZP,Buyer Entity 017,Private Ltd,Retail,10,102,505660.6,Compliant,75.5
19AABCX0018E1ZP,Buyer Entity 018,Proprietorship,FMCG,3,44,1354274.75,Compliant,26.0
20AABCX0019E1ZP,Buyer Entity 019,State Govt,Engineering,2,61,9517250.31,Compliant,25.25
21AABCX0020E1ZP,Buyer Entity 020,State Govt,Construction,2,37,649731.64,Compliant,19.25
