case_id,dispute_amount,days_overdue,buyer_type,sector,state,has_agreement,agreed_credit_days,buyer_gst_compliant,invoice_count,interest_amount,cross_state,settlement_probability,recovery_percentage,resolution_days
NS-ML-00001,298289.11,130,Private Ltd,Manufacturing,Gujarat,True,45,True,3,23863.13,False,0.8576,89.58,84.14
NS-ML-00002,721523.38,56,Proprietorship,Services,Uttar Pradesh,False,0,False,4,57721.87,True,0.5063,45.72,126.62
NS-ML-00003,387817.79,69,Central Govt,Services,Maharashtra,True,45,True,3,31025.42,True,0.848,100.0,65.92
NS-ML-00004,168474.26,47,Private Ltd,Manufacturing,Tamil Nadu,False,0,True,2,13477.94,False,0.8015,61.54,66.12
NS-ML-00005,61219.79,43,Private Ltd,Manufacturing,Uttar Pradesh,True,45,True,2,4897.58,False,0.7901,81.93,137.11
NS-ML-00006,210458.72,67,Private Ltd,Manufacturing,Uttar Pradesh,True,45,True,2,16836.7,False,0.7224,87.83,124.09
NS-ML-00007,25000.0,50,PSU,Manufacturing,Gujarat,True,45,False,4,2000.0,False,0.8174,100.0,120.31
NS-ML-00008,510856.04,90,Private Ltd,Manufacturing,Uttar Pradesh,True,45,True,1,40868.48,True,0.7199,85.61,124.3
NS-ML-00009,549454.11,145,Central Govt,Manufacturing,Karnataka,False,0,False,3,43956.33,True,0.6865,80.17,140.17
NS-ML-00010,215191.9,279,Proprietorship,Manufacturing,Uttar Pradesh,True,45,True,1,17215.35,False,0.6534,74.65,123.25
NS-ML-00011,2203502.85,123,Proprietorship,Services,Karnataka,True,45,True,1,176280.23,False,0.5648,66.18,107.54
NS-ML-00012,630247.75,290,State Govt,Manufacturing,Tamil Nadu,True,45,True,2,50419.82,False,0.8032,100.0,135.43
NS-ML-00013,190265.42,188,Central Govt,Services,Maharashtra,True,45,False,5,15221.23,True,0.8242,95.05,74.43
NS-ML-00014,74164.36,199,Private Ltd,Manufacturing,Karnataka,True,45,True,4,5933.15,False,0.7302,87.67,80.4
NS-ML-00015,33190.7,62,PSU,Services,Uttar Pradesh,False,0,False,3,2655.26,False,0.7664,84.36,111.19
