case_id,state,buyer_state,buyer_type,sector,dispute_amount,days_overdue,has_agreement,invoice_count,outcome,recovery_percentage,recovered_amount,stage,resolution_days,month,buyer_gstin,buyer_name,buyer_gst_compliant
NS-DIS-00001,Maharashtra,Maharashtra,Partnership,Manufacturing,25000.0,76,True,4,Partial settlement,60,15000.0,UNP_Settled,30,5,01AABCX0000E1ZP,Buyer Entity 000,False
NS-DIS-00002,Tamil Nadu,Karnataka,Private Ltd,Services,652248.27,42,True,1,Partial settlement,61,397871.44,UNP_Settled,34,2,18AABCX0017E1ZP,Buyer Entity 017,False
NS-DIS-00003,Tamil Nadu,Uttar Pradesh,Private Ltd,Services,81265.61,174,False,1,In process,56,45508.74,MSEFC_Referred,76,5,35AABCX0034E1ZP,Buyer Entity 034,True
NS-DIS-00004,Delhi,Delhi,Private Ltd,Manufacturing,727254.11,101,True,5,Full recovery,100,727254.11,Recovered,62,10,17AABCX0051E1ZP,Buyer Entity 051,True
NS-DIS-00005,Others,Karnataka,Private Ltd,Services,303247.54,103,False,1,Full recovery,100,303247.54,Recovered,61,1,34AABCX0068E1ZP,Buyer Entity 068,True
NS-DIS-00006,Maharashtra,Maharashtra,Private Ltd,Manufacturing,245495.35,182,True,4,Partial settlement,80,196396.28,UNP_Settled,70,9,16AABCX0085E1ZP,Buyer Entity 085,True
NS-DIS-00007,West Bengal,Maharashtra,Private Ltd,Manufacturing,56147.3,117,True,2,Full recovery,100,56147.3,Recovered,44,7,33AABCX0102E1ZP,Buyer Entity 102,True
NS-DIS-00008,Others,Tamil Nadu,Private Ltd,Manufacturing,1776995.76,133,True,3,In process,36,639718.47,Arbitration,89,11,15AABCX0119E1ZP,Buyer Entity 119,True
NS-DIS-00009,Uttar Pradesh,Uttar Pradesh,Proprietorship,Manufacturing,54062.58,95,True,3,Dismissed,0,0.0,Closed,89,2,32AABCX0136E1ZP,Buyer Entity 136,True
NS-DIS-00010,Maharashtra,Gujarat,PSU,Services,205220.56,112,True,5,Full recovery,100,205220.56,Recovered,81,6,14AABCX0153E1ZP,Buyer Entity 153,True
NS-DIS-00011,Others,Tamil Nadu,PSU,Manufacturing,236984.44,91,False,5,Partial settlement,56,132711.29,UNP_Settled,93,7,31AABCX0170E1ZP,Buyer Entity 170,True
NS-DIS-00012,Delhi,West Bengal,Partnership,Manufacturing,41491.4,106,True,4,Full recovery,100,41491.4,Recovered,64,6,13AABCX0187E1ZP,Buyer Entity 187,False
NS-DIS-00013,Uttar Pradesh,Uttar Pradesh,Proprietorship,Manufacturing,128190.23,175,True,4,Full recovery,100,128190.23,Recovered,91,2,30AABCX0204E1ZP,Buyer Entity 204,True
NS-DIS-00014,Tamil Nadu,Tamil Nadu,LLP,Manufacturing,177369.79,79,True,3,Partial settlement,63,111742.97,UNP_Settled,36,5,12AABCX0221E1ZP,Buyer Entity 221,True
NS-DIS-00015,Karnataka,Karnataka,LLP,Services,1145599.24,59,False,4,Full recovery,100,1145599.24,Recovered,75,6,29AABCX0238E1ZP,Buyer Entity 238,True
NS-DIS-00016,Delhi,Delhi,Private Ltd,Services,768381.49,61,True,3,Full recovery,100,768381.49,Recovered,52,12,11AABCX0255E1ZP,Buyer Entity 255,True
NS-DIS-00017,West Bengal,Delhi,Private Ltd,Manufacturing,374334.01,89,True,1,Partial settlement,80,299467.21,UNP_Settled,50,10,28AABCX0272E1ZP,Buyer Entity 272,True
NS-DIS-00018,Maharashtra,Maharashtra,State Govt,Manufacturing,85893.02,194,False,2,Partial settlement,83,71291.21,UNP_Settled,113,12,10AABCX0289E1ZP,Buyer Entity 289,True
NS-DIS-00019,Others,Others,Private Ltd,Manufacturing,38968.51,72,True,4,Full recovery,100,38968.51,Recovered,58,5,27AABCX0306E1ZP,Buyer Entity 306,True
NS-DIS-00020,Gujarat,Maharashtra,Private Ltd,Services,239142.21,89,False,5,Full recovery,100,239142.21,Recovered,57,2,09AABCX0323E1ZP,Buyer Entity 323,True
